review_title,review_content,cleaned_text,sentiment_score,tags,helpful_votes
Power On The Go,"This portable power charger works great for my military son. The multiple ports allow him to charge his phone, earbuds and laptop all from this one charger. He can pack it with him and use it all day during classes when he can't necessarily be close to a power outlet. Other soldiers have inquired where they could get one like his because they're always trying to borrow it from him. Highly recommend this portable charger!",this portable power charger works great for my military son the multiple ports allow him to charge his phone earbuds and laptop all from this one charger he can pack it with him and use it all day during classes when he cant necessarily be close to a power outlet other soldiers have inquired where they could get one like his because theyre always trying to borrow it from him highly recommend this portable charger,0.8832,neutral,0
Power Bank is Good,Good reliable product. i scrolled through the reviews before I made my purchase and I looked at 25  reviews and 90% were positive review. This is a good product. It charges my phone and it doesn't not take long to charge up the bank. Well worth your dollars for this one.,good reliable product i scrolled through the reviews before i made my purchase and i looked at 25 reviews and 90 were positive review this is a good product it charges my phone and it doesnt not take long to charge up the bank well worth your dollars for this one,0.8834,neutral,23
EXACTLY What I Needed!,"I wanted a portable power bank to recharge my Android phone. Not being very""Computer Literate,"" I was nervous about finding a charger/power bank that would fit my LG G6 phone! I am so happy I bought this, it is wonderful! It comes complete with 4 different attached cords, so one of them fits my phone perfectly! It holds a chharge for a long time, and even after it has charged my phone, it still has between 50-75% power left! This is going to make our summer vacation so much better, I won't be searching for a plug, or have to go back to the room! Great product!",i wanted a portable power bank to recharge my android phone not being verycomputer literate i was nervous about finding a chargerpower bank that would fit my lg g6 phone i am so happy i bought this it is wonderful it comes complete with 4 different attached cords so one of them fits my phone perfectly it holds a chharge for a long time and even after it has charged my phone it still has between 5075 power left this is going to make our summer vacation so much better i wont be searching for a plug or have to go back to the room great product,0.9662,favorite_function,21
Defective Portable Charger,Doesn't hold a charge for long. It takes forever to charge. I left it on the charger all night and it still was on 25 percent charging. Do not waste your money on this one. This must've been one of the defective ones I received because it didn't even last a good 3 months and I just ordered it.,doesnt hold a charge for long it takes forever to charge i left it on the charger all night and it still was on 25 percent charging do not waste your money on this one this mustve been one of the defective ones i received because it didnt even last a good 3 months and i just ordered it,-0.4541,neutral,0
Amazing product.,"We use a wide selection of devices with different connections. This charged three times before we drained it. I know it says 4-6, but I still consider three very good. We also connected it to another battery to charge it up using rhe type A connect. It was slow to recharge,  but worked enough for us to charge the other iPhone charge only phone. I was expecting more issues as it was less than $20.00. I've never been so glad that I was wrong!",we use a wide selection of devices with different connections this charged three times before we drained it i know it says 46 but i still consider three very good we also connected it to another battery to charge it up using rhe type a connect it was slow to recharge but worked enough for us to charge the other iphone charge only phone i was expecting more issues as it was less than 2000 ive never been so glad that i was wrong,0.6356,concerns,0
Very evvective,"It continues to work as designed and because of the attached cables it is easier to use than other chargers where you need to have a cable to connect your device.

The digital charge level is also very helpful. It charges my phone 2 or 3 times before needing to be recharged.",it continues to work as designed and because of the attached cables it is easier to use than other chargers where you need to have a cable to connect your device the digital charge level is also very helpful it charges my phone 2 or 3 times before needing to be recharged,0.5468,favorite_function,4
Great back up phone charger,"This charger works fantastic! I really really like it and now it is my go to back up charger. I love the four cord options and light weight of the product. I wish it had a % remaining versus the 25, 50, 75, 100 LED numbers. This doesn't really tell the consumer how much time is left to charge an items.",this charger works fantastic i really really like it and now it is my go to back up charger i love the four cord options and light weight of the product i wish it had a remaining versus the 25 50 75 100 led numbers this doesnt really tell the consumer how much time is left to charge an items,0.927,favorite_function,0
Handy item and easy to use!,The 1 great feature I like about the portable charger is that the cell phone charging cables are built into it. I'm not fumbling around trying to find a cell phone charging cable to charge my phone. The device is about the size of a checkbook and the LCD screen showing the % life remaining on portable charger is bright and easy to read. I feel this was a great purchase for the price I paid!,the 1 great feature i like about the portable charger is that the cell phone charging cables are built into it im not fumbling around trying to find a cell phone charging cable to charge my phone the device is about the size of a checkbook and the lcd screen showing the life remaining on portable charger is bright and easy to read i feel this was a great purchase for the price i paid,0.9477,favorite_function,0
Defective Portable Charger,Doesn't hold a charge for long. It takes forever to charge. I left it on the charger all night and it still was on 25 percent charging. Do not waste your money on this one. This must've been one of the defective ones I received because it didn't even last a good 3 months and I just ordered it.,doesnt hold a charge for long it takes forever to charge i left it on the charger all night and it still was on 25 percent charging do not waste your money on this one this mustve been one of the defective ones i received because it didnt even last a good 3 months and i just ordered it,-0.4541,neutral,0
Power Bank is Good,Good reliable product. i scrolled through the reviews before I made my purchase and I looked at 25  reviews and 90% were positive review. This is a good product. It charges my phone and it doesn't not take long to charge up the bank. Well worth your dollars for this one.,good reliable product i scrolled through the reviews before i made my purchase and i looked at 25 reviews and 90 were positive review this is a good product it charges my phone and it doesnt not take long to charge up the bank well worth your dollars for this one,0.8834,neutral,23
"Scam - Perhaps 2,000-5,000mAh","The battery feels surprisingly light (feels mostly hollow) compared to my other functional 20000nAh battery bank. After I fully charged it, I was barely able to top off 2 mostly full cell phones before the battery bank was empty.

The built-in cables appear to work fine, but that matters little if it can't store the needed power.",the battery feels surprisingly light feels mostly hollow compared to my other functional 20000nah battery bank after i fully charged it i was barely able to top off 2 mostly full cell phones before the battery bank was empty the builtin cables appear to work fine but that matters little if it cant store the needed power,0.1209,favorite_function,0
Great for in hand or sitting charging! Caution?!,"Love the plug and play of the usbs and yes the one charges the device. Stand doesn't necessarily stand up to expectations but I'm playing Pokémon go and it keeps me charged unless the phone and battery gets too hot in the sun, power saving keeps me at 80% but it's dropped a few times as it's used for an all day event which can be 8  hours.",love the plug and play of the usbs and yes the one charges the device stand doesnt necessarily stand up to expectations but im playing pokmon go and it keeps me charged unless the phone and battery gets too hot in the sun power saving keeps me at 80 but its dropped a few times as its used for an all day event which can be 8 hours,0.5574,neutral,0
,"i disliked the fact that i requested to have the package delivered to my Apt door,and to ring bell! BUT,it was left unattended in the mailroom,(""which has had alot of thefts lately!') but, luckily I was able to retrieve my package before someone stoled it '",i disliked the fact that i requested to have the package delivered to my apt doorand to ring bell butit was left unattended in the mailroomwhich has had alot of thefts lately but luckily i was able to retrieve my package before someone stoled it,0.5574,neutral,0
Reliable,"Has a nice battery life for charging your devices , it is pretty big but definitely a good reliable portable charger",has a nice battery life for charging your devices it is pretty big but definitely a good reliable portable charger,0.886,neutral,0
,The power pack is one of my  favorite purchases 🙂. I travel often easy lightweight works for me..I will charge my 📱 continue to do other tasks,the power pack is one of my favorite purchases i travel often easy lightweight works for mei will charge my continue to do other tasks,0.7096,"use_case, favorite_function",0
One charger handles it all.,I use it everyday several times.  I have several other chargers.  But this isn't go to when I leave the house.   Everything in one spot.,i use it everyday several times i have several other chargers but this isnt go to when i leave the house everything in one spot,-0.0772,neutral,0
,"i like the multiple charger plugs on it. 
it is small enough to fit in my pocket on days we go to farmer's markets.",i like the multiple charger plugs on it it is small enough to fit in my pocket on days we go to farmers markets,0.6124,neutral,0
Powerful little charger,Perfect! Second one I order. Gifted the second one to a friend. It's my backup when I leave the house. Keep it in my purse. All plugs attached and ready to go. I got this last one sale. Win win!,perfect second one i order gifted the second one to a friend its my backup when i leave the house keep it in my purse all plugs attached and ready to go i got this last one sale win win,0.9501,use_case,0
awesome product,"this power bank is great. it charges fast. love the design, and let you know how much power is left in Bank. has multiple charging adapters for c-port regular micro, and iPhone charger.",this power bank is great it charges fast love the design and let you know how much power is left in bank has multiple charging adapters for cport regular micro and iphone charger,0.802,neutral,0
,i love it . been using it for a week now while at work and it performs as promised . charges fast and one full charge will last 2-3 days depending on how much phone your phone use is,i love it been using it for a week now while at work and it performs as promised charges fast and one full charge will last 23 days depending on how much phone your phone use is,0.6808,neutral,0
Don't Buy!,Save your money and do not buy this product. I have been charging this power bank for two days and it is still not at 100 percent. It also takes forever to charge your cell phone. Not worth the Black Friday deal!,save your money and do not buy this product i have been charging this power bank for two days and it is still not at 100 percent it also takes forever to charge your cell phone not worth the black friday deal,0.3682,neutral,0
Dies at 50%,"It charges just fine, the stand fits my phone perfectly, charges super fast, my only problem is that it seems to die at 50% battery.",it charges just fine the stand fits my phone perfectly charges super fast my only problem is that it seems to die at 50 battery,0.0258,neutral,2
"Works great, lasts long","I love that this is all in one, no long cords to bring and it charges quickly and I can use it for multiple full charges before having to charge it .",i love that this is all in one no long cords to bring and it charges quickly and i can use it for multiple full charges before having to charge it,-0.0516,favorite_function,2
Love this charger just wish the cables were longer,I do not like this and I got the insurance it's working great out the box already had a charge I highly recommend this,i do not like this and i got the insurance its working great out the box already had a charge i highly recommend this,0.6987,neutral,0
Poor Charge,Doesn't hold charge for long and only charged phone twice on a charge. Doesn't compete with similar power banks of similar size.,doesnt hold charge for long and only charged phone twice on a charge doesnt compete with similar power banks of similar size,-0.2023,neutral,0
,"It works exactly as it's supposed to. However, I would like to put this out there since it's not in the info below it or photo descriptions. Its capacity is 20,000 mAh. However, its rated capacity is only 13,500mAh.",it works exactly as its supposed to however i would like to put this out there since its not in the info below it or photo descriptions its capacity is 20000 mah however its rated capacity is only 13500mah,0.3612,neutral,0
not as expected,"i bought this for the mAh...fantastic!  but the cables were short, unusable for my situation. there is no way to use my own cable to make it usable! I got my money back via a refund at the store!",i bought this for the mahfantastic but the cables were short unusable for my situation there is no way to use my own cable to make it usable i got my money back via a refund at the store,-0.4215,favorite_function,0
Great!!!!,I love the fact that it has the different cords attached to it for different devices. And that you can add your own cord as well. I've been using it for a while and it works great as a battery life charge my phone multiple times on one charge,i love the fact that it has the different cords attached to it for different devices and that you can add your own cord as well ive been using it for a while and it works great as a battery life charge my phone multiple times on one charge,0.886,favorite_function,0
"An ok charging speed, low battery life, short cord","It charges your phone and other things quite well, however the battery life is not exactly ideal. The cord lengths are also below expected, but it's portable so I guess it'll do.",it charges your phone and other things quite well however the battery life is not exactly ideal the cord lengths are also below expected but its portable so i guess itll do,-0.188,favorite_function,0
No power here,"Maybe I got a dud because my purchase does not come close to the good reviews of this product.  it takes forever to charge, but then it runs down so fast.  Perhaps I expected too much for $20, lol.  I definitely do not recommend it.",maybe i got a dud because my purchase does not come close to the good reviews of this product it takes forever to charge but then it runs down so fast perhaps i expected too much for 20 lol i definitely do not recommend it,0.7214,neutral,0
works great,"works great. it shows the percentage of battery life it has so you can recharge when needed. it does charge a little long then expected,  just charge over night and it will be good.",works great it shows the percentage of battery life it has so you can recharge when needed it does charge a little long then expected just charge over night and it will be good,0.7906,neutral,1
"Missing item, need refund",i ordered 2 of these devices and only received one! i was charged for 2 devices! Now i need to go into the local Walmart and explain the situation. Not happy.,i ordered 2 of these devices and only received one i was charged for 2 devices now i need to go into the local walmart and explain the situation not happy,-0.5856,concerns,0
very small capacity,This is a bad deal.  The advertised capacity of this bank is 20000 mAh.  I tested the device and the actual capacity is 7500 mAh.  The bank has some use but us way overpriced.   Look for another product.,this is a bad deal the advertised capacity of this bank is 20000 mah i tested the device and the actual capacity is 7500 mah the bank has some use but us way overpriced look for another product,-0.3071,neutral,0
,"I took this on a cruise. It was a wonderful addition to my luggage. It not only kept my android charged, but several of the phones of the other ladies with me as well. Great purchase!!!",i took this on a cruise it was a wonderful addition to my luggage it not only kept my android charged but several of the phones of the other ladies with me as well great purchase,0.882,neutral,0
Everything I've Ever Wanted.,I have found myself taking this everywhere. I first got it for my travel to 3rd world countries and haven't taken it out of my bag since. It can charge all my electronic devices and has a massive battery life. Would recommend. 10/10.,i have found myself taking this everywhere i first got it for my travel to 3rd world countries and havent taken it out of my bag since it can charge all my electronic devices and has a massive battery life would recommend 1010,0.3612,use_case,0
Temper your expectations with this one,"It's a good product as it is exactly what it states on the logo. A 20k power bank, and it is just as convenient as you'd expect given it has built in power cables. Though for some odd reason they seem to only pump out at 10w charging speed.",its a good product as it is exactly what it states on the logo a 20k power bank and it is just as convenient as youd expect given it has built in power cables though for some odd reason they seem to only pump out at 10w charging speed,0.1531,favorite_function,0
,honestly this is a low standard power bank and it keeps dying so fast i thought it used USB-C but it used micro USB and i was disappointed save your money up and get something other than this,honestly this is a low standard power bank and it keeps dying so fast i thought it used usbc but it used micro usb and i was disappointed save your money up and get something other than this,0.1531,neutral,0
,I haven't had a chance to actually use it yet! I love the fact it tells you how much power you have left for charging and includes 4 different charging ports.. I'm sure it'll work well!!,i havent had a chance to actually use it yet i love the fact it tells you how much power you have left for charging and includes 4 different charging ports im sure itll work well,0.782,neutral,0
Barely Adequate,"It's OK, I won't return it since I have used it once. I would not recommend it. They have a solar model that seems to get good reviews, but this one is barely adequate.",its ok i wont return it since i have used it once i would not recommend it they have a solar model that seems to get good reviews but this one is barely adequate,0.4415,neutral,0
Portable dynamo,Comes attached with all the plug types you may need. Has a digital gauge that tells you the charge of the device. I have charged my phone several times and not drained it.,comes attached with all the plug types you may need has a digital gauge that tells you the charge of the device i have charged my phone several times and not drained it,0.0798,concerns,3
Great battery for walking around power,The only time I need a portable battery is when I travel and use a lot of walking routes. It's not very heavy but allows me to charge my phone. good results.,the only time i need a portable battery is when i travel and use a lot of walking routes its not very heavy but allows me to charge my phone good results,0.5927,"use_case, concerns",5
My New Power Bank,"I love having a way to keep all of my things charged up, even when I'm mobile. I love the charging cords that are on the back of the bank. I love the price and the free delivery. I'm totally satisfied with my purchase.",i love having a way to keep all of my things charged up even when im mobile i love the charging cords that are on the back of the bank i love the price and the free delivery im totally satisfied with my purchase,0.9595,favorite_function,0
Great working PowerBank,"Purchased to use in the deer woods and love that it has built in cables, makes for less hauling of unnecessary items! Battery life seems pretty good as well! Would recommend 😊",purchased to use in the deer woods and love that it has built in cables makes for less hauling of unnecessary items battery life seems pretty good as well would recommend,0.9313,favorite_function,0
Perfect for my needs.,"It was almost fully charged when I got it and the fact I could charge my phone and my wife's phone, at the same time, with the built in cables was brilliant. Highly recommended.",it was almost fully charged when i got it and the fact i could charge my phone and my wifes phone at the same time with the built in cables was brilliant highly recommended,0.6222,favorite_function,7
,"It works exactly as it's supposed to. However, I would like to put this out there since it's not in the info below it or photo descriptions. Its capacity is 20,000 mAh. However, its rated capacity is only 13,500mAh.",it works exactly as its supposed to however i would like to put this out there since its not in the info below it or photo descriptions its capacity is 20000 mah however its rated capacity is only 13500mah,0.3612,neutral,0
,"Definitely a great product, especially if you have to use your phone at work all day and can't plug it in to a wall port. It can charge multiple types of devices and definitely comes in handy when needed.",definitely a great product especially if you have to use your phone at work all day and cant plug it in to a wall port it can charge multiple types of devices and definitely comes in handy when needed,0.8591,neutral,0
Not As Described,In the item's description the seller said that this charger should charge smart phones between 4 - 6 times. This charger barely charged my phone once and I was very disappointed.,in the items description the seller said that this charger should charge smart phones between 4 6 times this charger barely charged my phone once and i was very disappointed,-0.296,neutral,0
works great,"works great. it shows the percentage of battery life it has so you can recharge when needed. it does charge a little long then expected,  just charge over night and it will be good.",works great it shows the percentage of battery life it has so you can recharge when needed it does charge a little long then expected just charge over night and it will be good,0.7906,neutral,1
very small capacity,This is a bad deal.  The advertised capacity of this bank is 20000 mAh.  I tested the device and the actual capacity is 7500 mAh.  The bank has some use but us way overpriced.   Look for another product.,this is a bad deal the advertised capacity of this bank is 20000 mah i tested the device and the actual capacity is 7500 mah the bank has some use but us way overpriced look for another product,-0.3071,neutral,0
No power here,"Maybe I got a dud because my purchase does not come close to the good reviews of this product.  it takes forever to charge, but then it runs down so fast.  Perhaps I expected too much for $20, lol.  I definitely do not recommend it.",maybe i got a dud because my purchase does not come close to the good reviews of this product it takes forever to charge but then it runs down so fast perhaps i expected too much for 20 lol i definitely do not recommend it,0.7214,neutral,0
Smells Like Burning.,"I've been using this power bank for about 6 days. It's now giving off a burnt smell and I don't feel it's safe to use. Unfortunately I no longer have the packaging, so I will be throwing it away.",ive been using this power bank for about 6 days its now giving off a burnt smell and i dont feel its safe to use unfortunately i no longer have the packaging so i will be throwing it away,-0.5583,neutral,10
Love it,"This is the best battery pack I ever bought. I got it before I went on vacation with my old iPhone that broke, and this battery pack also having the c-port charger saved my life. It can charge my phone, AirPods and speaker all at once and has a great charged life",this is the best battery pack i ever bought i got it before i went on vacation with my old iphone that broke and this battery pack also having the cport charger saved my life it can charge my phone airpods and speaker all at once and has a great charged life,0.8176,concerns,0
Initial experience is awful.,"The instructions for use, provided with the PowerBank, are TERRIBLE.   If this is any indication of what you're in for, they start out with, ""Here's the instruction for your better experience"".    My third grader can write better English than this.

It gets worse:  There is a digital display (25 50 75 100).   Nowhere does it explain what these numbers mean.

The power button seems to do nothing.

There is a slide-out on the back side (looks like a typical place to put batteries into a remote).  No explanation in the manual and NOTHING behind the slide-out ... still a complete mystery as to its purpose.",the instructions for use provided with the powerbank are terrible if this is any indication of what youre in for they start out with heres the instruction for your better experience my third grader can write better english than this it gets worse there is a digital display 25 50 75 100 nowhere does it explain what these numbers mean the power button seems to do nothing there is a slideout on the back side looks like a typical place to put batteries into a remote no explanation in the manual and nothing behind the slideout still a complete mystery as to its purpose,-0.0258,neutral,0
Power bank with cables,I like the size.  It fits in my purse well.  I am happy it is not real heavy.  I love how the cables are built in.  I charged my phone easily.  The color makes it professional looking.  I have already told my friends about it.  I think it will be with me a lot.  It price was right.  I have been wanting one for a while.,i like the size it fits in my purse well i am happy it is not real heavy i love how the cables are built in i charged my phone easily the color makes it professional looking i have already told my friends about it i think it will be with me a lot it price was right i have been wanting one for a while,0.824,"favorite_function, concerns",0
Reliability,Always good to be prepared %26 this power bank is more than reliable.,always good to be prepared 26 this power bank is more than reliable,0.5859,neutral,0
great charger,this charger works very fast. i like the 3 different ends it has for different phones.,this charger works very fast i like the 3 different ends it has for different phones,0.4173,neutral,0
Disappointed,I ordered 2 and only got 1 where is my other one,i ordered 2 and only got 1 where is my other one,0.0,neutral,0
Great,Very good portable charger.,very good portable charger,0.4927,neutral,0
Portable Charger,This was a gift for my son.  He loves everything about it :),this was a gift for my son he loves everything about it,0.765,use_case,0
,all the usb cable's you are going to need built in,all the usb cables you are going to need built in,0.0,favorite_function,0
great charger,this charger works very fast. i like the 3 different ends it has for different phones.,this charger works very fast i like the 3 different ends it has for different phones,0.4173,neutral,0
,Fair price.  Good quality.  No complaints.,fair price good quality no complaints,0.0772,neutral,0
wrong item received,received a sponge mop refill instead of the item. Walmart won&amp;amp;#39;t take it back.,received a sponge mop refill instead of the item walmart wonampamp39t take it back,0.0,neutral,0
Reliability,Always good to be prepared %26 this power bank is more than reliable.,always good to be prepared 26 this power bank is more than reliable,0.5859,neutral,0
Best external battery charger,Digital display of battery. 5 cables for charging. We only use the apple and Samsung conecter,digital display of battery 5 cables for charging we only use the apple and samsung conecter,0.0,favorite_function,0
,vrry good at keeping charge and it works great,vrry good at keeping charge and it works great,0.7906,neutral,0
,Great product. I'm glad I purchased it. I will order another one soon,great product im glad i purchased it i will order another one soon,0.7964,neutral,0
,This is the best thing ever. I recommend anyone to purchase this,this is the best thing ever i recommend anyone to purchase this,0.7717,neutral,0
,"This item is very good quality and price. It's no need cable, light weight.",this item is very good quality and price its no need cable light weight,0.2484,favorite_function,0
,Takes long to charge your device was hoping for a fast charge.,takes long to charge your device was hoping for a fast charge,0.4215,favorite_function,0
Love it.,Never have to worry about my phone going dead again,never have to worry about my phone going dead again,-0.4393,neutral,0
,"It  doesn't work 
Won't charge",it doesnt work wont charge,0.0,neutral,0
,This power bar did not fit any of my] devices.  All ports were too snall.,this power bar did not fit any of my devices all ports were too snall,-0.2755,neutral,0
,I don't like it. No instructions for the use. It doesn't say how long it will stay charged up,i dont like it no instructions for the use it doesnt say how long it will stay charged up,-0.2551,neutral,0
,Got it in December. Doesn't fully charge anymore,got it in december doesnt fully charge anymore,0.0,neutral,0
,The battery it's self does not hold charge so I can use it to charge my phone. Not happy with it.,the battery its self does not hold charge so i can use it to charge my phone not happy with it,-0.4585,concerns,0
,Got it in December. Doesn't fully charge anymore,got it in december doesnt fully charge anymore,0.0,neutral,0
,"ABSOLUTELY NO GOOD!!!!!
Does not charge phone effectively. Takes 30mins to get 2%!!!
WASTE OF MONEY!!!!!
DO NOT BUY!!!!",absolutely no good does not charge phone effectively takes 30mins to get 2 waste of money do not buy,-0.5455,neutral,0
,I am disappointed with this charger. It doesn't last long enough to charge my phone. It takes a long time to charge itself. I dont recommend it.,i am disappointed with this charger it doesnt last long enough to charge my phone it takes a long time to charge itself i dont recommend it,-0.6381,neutral,0
Very happy,Great little portable charger bought for vacation and used around the house when we need an extra charging option.,great little portable charger bought for vacation and used around the house when we need an extra charging option,0.6249,neutral,0
,This really helps cuz my phone dies when it cold out,this really helps cuz my phone dies when it cold out,0.4391,neutral,0
Stopped working on 2nd use,"Stopped working soon after purchase, like before",stopped working soon after purchase like before,0.1531,concerns,0
,worst charger block ive ever had. slow charges and doesn't hold power.,worst charger block ive ever had slow charges and doesnt hold power,-0.8442,concerns,0
Scam,Rip off it is not 20000 more like 5000,rip off it is not 20000 more like 5000,-0.3241,neutral,0
,Takes too long for charged,takes too long for charged,-0.2023,neutral,0
,charged my phone three times so far.,charged my phone three times so far,-0.2023,neutral,0
